"Reference","Value","Footprint","Qty"
"C1, C2","0.1u","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","2"
"C3, C4","1u","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","2"
"C5","10u","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","1"
"D1, D2","1N914","Diode_THT:D_A-405_P7.62mm_Horizontal","2"
"D3-D13, D15, D16","Green","LED_THT:LED_D3.0mm","13"
"D14","Red","LED_THT:LED_D3.0mm","1"
"H1-H6","MountingHole","MountingHole:MountingHole_4mm","6"
"J1-J3","DIN-5_FEMALE","Eurocad:MIDI_DIN5","3"
"J4","Conn_01x03_Pin","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Horizontal","1"
"R1, R2, R5-R11, R14-R20","220","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","16"
"R3","10","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1"
"R4","33","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1"
"R12, R13","470","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","2"
"R21, R22","15k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","2"
"RV1, RV2","10k (B)","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","2"
"SW1-SW5","SW_PUSH","Button_Switch_THT:SW_PUSH_6mm","5"
"U1, U2","H11L1","Package_DIP:DIP-6_W7.62mm_LongPads","2"
"U3","Pico","MCU_RaspberryPi_and_Boards:RPi_Pico_SMD_TH","1"
